Drake,God's Plan,Cardo,"Drake, Cardo, Yung Exclusive, Boi-1da, 40, Brock Korsan",N/A,"Mavor and Moses Publishing, TJ Music Service, The Administration MP, EMI Music Publishing, Sandra Gale, Casablanca Media Publishing, Sony Music Entertainment, 1damentional Publishing, Universal Music Group, Cardo Publishing, Roncesvalles Music Publishing, Kobalt Music, Yex Publishing, Nasrok Music, Annuity Songs",Chris Athens,N/A,Cash Money Records,"Cash Money Records, Young Money, Universal Music Group","Cash Money Records, Young Money, Universal Music Group",40,40,Noel “Gadget” Campbell,"January 19, 2018",N/A
Bruno Mars,Uptown Funk,Bruno Mars,"Robert Wilson, Trinidad James, Rudy Taylor, Charlie Wilson, Ronnie Wilson, Lonnie Simmons, Devon Gallaspy, Bruno Mars, Mark Ronson, Philip Lawrence, Jeff Bhasker",N/A,N/A,N/A,N/A,RCA Records,N/A,N/A,Phredley Brown,N/A,Șerban Ghenea,"November 10, 2014",N/A
Doja Cat,Say So,Dr. Luke,"Dr. Luke, Lydia Asrat, Yeti Beats, Doja Cat",N/A,"Yeti Yeti Yeti, Warner Music Group, Warner-Tamerlane Publishing Corp., Warner/Chappell, Rough Trade Records, Desta Melodies, House of Hassle, The Propelr, Prescription Songs, Kasz Money Publishing, Where Da Kasz At?, Kobalt Music, Doja Cat Music",Mike Bozzi,N/A,Kemosabe Records,"RCA Records, Kemosabe Records","RCA Records, Kemosabe Records",N/A,N/A,Clint Gibbs,"November 7, 2019",N/A
Lorde,Royals,Joel Little,"Lorde, Joel Little",N/A,N/A,Stuart Hawkes,N/A,Universal Music Group,N/A,N/A,N/A,N/A,Joel Little,"June 3, 2013",N/A
Beyoncé,Halo,Ryan Tedder,"E. Kidd Bogart, Ryan Tedder, Beyoncé",N/A,"Sony Music Entertainment, B Day Publishing, Here’s Lookin’ At You Kidd Music, Hipgnosis Songs, Kobalt Music",Tom Coyne,N/A,Columbia Records,Sony Music Entertainment,"Sony BMG Music Entertainment (USA), Sony Music Entertainment",N/A,Jim Caruana,Matty Green,"November 12, 2008",N/A
Ariana Grande,"thank u, next",Scootie,"Ariana Grande, Victoria Monét, Tayla Parx, Njomza, Scootie, Michael “Mikey” Foster, TBHits",Sterling Sound Studio,"Kobalt Music, New World Music, Warner Music Group, The Royalty Network, BMG, Warner-Tamerlane Publishing Corp., The District 4 12, Taylor Monet Music, Victoria McCants Music Publishing, Universal Music Group, The Hillstorian, TBHitsville, ​avex music creative Inc., Owsla Music Publishing, GrandAriMusic, Broma 16, Warner/Chappell",Randy Merrill,N/A,Universal Music Group,"Republic Records, Universal Music Group","Republic Records, Universal Music Group",N/A,Billy Hickey,Șerban Ghenea,"November 3, 2018",N/A
Sam Smith,Stay With Me,Steve Fitzmaurice,"Sam Smith, Jeff Lynne, Jimmy Napes, Tourist, Tom Petty, Rodney Jerkins",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jeremy Murphy,Darren Heelis,"May 26, 2014",N/A
Katy Perry,Firework,Sandy Vee,"Katy Perry, Tor Erik Hermansen, Mikkel Storleer Eriksen, Ester Dean, Sandy Vee",N/A,"2412 Songs, Dat Damn Dean Music, Dipiù Music, When I’m Rich You’ll Be My Bitch, EMI April Music, ​peermusic, Ultra Records, Warner Music Group",Brian Gardner,N/A,Capitol Records,Capitol Records,Capitol Records,N/A,Miles Walker,Sandy Vee,"August 24, 2010",N/A
Lady Gaga,Shallow,Benjamin Rice,"Andrew Wyatt, Anthony Rossomando, Mark Ronson, Lady Gaga",N/A,"House Of Gaga, Warner Music Group, White Bull Music Group, Sony Music Entertainment, Warner-Olive Music, Stephanie Says Music, Universal Music Group, Downtown Music, Warner/Barham Music, Songs of Zelig, SG Songs Worldwide, Concord Music Group",Randy Merrill,N/A,Metro-Goldwyn-Mayer Inc.,"Interscope Records, Metro-Goldwyn-Mayer Inc., Warner Bros. Entertainment",N/A,Alberto Bof,Benjamin Rice,Tom Elmhirst,"September 27, 2018",N/A
Charli xcx,Sympathy is a knife,Finn Keane,"Charli xcx, Finn Keane, Jon Shave",N/A,"Warner Music Group, Universal Music Group, Sony Music Entertainment",Idania Valencia,N/A,Atlantic Records,Atlantic Records,Atlantic Records,N/A,N/A,Tom Norris,"June 7, 2024",N/A
