year,value
1970,7.89
1975,8.09
1980,8.34
1985,8.5
1990,8.68
1995,8.8
2000,8.83
2001,8.67
2002,8.67
2003,8.66
2004,8.67
2005,8.54
2006,8.55
2007,8.55
2008,8.32
2009,8.11
2010,8.22
2011,8.23
2012,8.34
2013,8.32
2014,8.36
2015,8.4
2016,8.41
2017,8.43
2018,8.36
2019,8.34
2020,8.11
2021,8.07
2022,8.09
