year,value
1974,35.0
1975,30.5
1976,24.0
1977,36.0
1978,29.0
1979,19.0
1980,25.0
1981,38.0
1982,29.0
1983,33.0
1986,42.0
1987,42.0
1988,42.0
1990,25.0
1991,36.0
1992,18.0
1993,24.0
1994,25.0
1995,33.5
1996,34.5
1997,36.0
1998,44.0
1999,41.0
2000,49.0
2001,51.0
2002,53.0
2003,48.5
2004,41.0
2005,35.5
2006,26.0
2007,27.0
2008,19.0
2009,31.0
2010,20.0
2011,17.0
2012,15.5
2013,14.5
2014,15.0
2015,15.5
2016,17.5
2017,19.5
2018,18.0
2019,20.0
2020,22.5
2021,26.5
2022,20.0
2023,18.5
2024,16.0
