Start,End,Approve,Disapprove,Unsure
02/17/2020,02/28/2020,47,51,2
02/03/2020,02/16/2020,49,48,3
01/16/2020,01/29/2020,49,50,1
01/02/2020,01/15/2020,44,53,3
12/02/2019,12/15/2019,45,51,4
11/01/2019,11/14/2019,43,54,3
10/14/2019,10/31/2019,41,57,2
10/01/2019,10/13/2019,39,57,4
09/16/2019,09/30/2019,40,56,4
09/03/2019,09/15/2019,43,54,3
08/15/2019,08/30/2019,39,57,4
08/01/2019,08/14/2019,41,54,5
07/15/2019,07/31/2019,42,54,4
07/01/2019,07/12/2019,44,51,5
06/19/2019,06/30/2019,41,54,5
06/03/2019,06/16/2019,43,55,2
05/15/2019,05/30/2019,40,55,5
05/01/2019,05/12/2019,42,52,6
04/17/2019,04/30/2019,46,50,4
04/01/2019,04/09/2019,45,51,4
03/01/2019,03/10/2019,39,57,4
02/12/2019,02/28/2019,43,54,3
02/01/2019,02/10/2019,44,52,4
01/21/2019,01/27/2019,37,59,4
01/02/2019,01/10/2019,37,59,4
12/17/2018,12/22/2018,39,55,6
12/10/2018,12/16/2018,38,57,5
12/03/2018,12/09/2018,40,56,4
11/26/2018,12/02/2018,40,56,4
11/19/2018,11/25/2018,38,60,2
11/12/2018,11/18/2018,43,53,4
11/05/2018,11/11/2018,38,56,6
10/29/2018,11/04/2018,40,54,6
10/22/2018,10/28/2018,40,54,6
10/15/2018,10/21/2018,44,50,6
10/08/2018,10/14/2018,44,51,5
10/01/2018,10/07/2018,43,53,4
09/24/2018,09/30/2018,42,53,5
09/17/2018,09/23/2018,40,56,4
09/10/2018,09/16/2018,38,56,6
09/03/2018,09/09/2018,40,54,6
08/27/2018,09/02/2018,41,53,6
08/20/2018,08/26/2018,41,54,5
08/13/2018,08/19/2018,42,52,6
08/06/2018,08/12/2018,39,56,5
07/30/2018,08/05/2018,41,54,5
07/23/2018,07/29/2018,40,55,5
07/16/2018,07/22/2018,42,54,4
07/09/2018,07/15/2018,43,52,5
07/02/2018,07/08/2018,41,56,3
06/25/2018,07/01/2018,42,53,5
06/18/2018,06/24/2018,41,55,4
06/11/2018,06/17/2018,45,50,5
06/04/2018,06/10/2018,42,54,4
05/28/2018,06/03/2018,41,55,4
05/21/2018,05/27/2018,40,55,5
05/14/2018,05/20/2018,42,54,4
05/07/2018,05/13/2018,43,52,5
04/30/2018,05/06/2018,42,52,6
04/23/2018,04/29/2018,42,53,5
04/16/2018,04/22/2018,39,55,6
04/09/2018,04/15/2018,39,55,6
04/02/2018,04/08/2018,41,54,5
03/26/2018,04/01/2018,39,56,5
03/19/2018,03/25/2018,39,55,6
03/12/2018,03/18/2018,40,56,4
03/05/2018,03/11/2018,39,56,5
02/26/2018,03/04/2018,39,55,6
02/19/2018,02/25/2018,39,56,5
02/12/2018,02/18/2018,37,59,4
02/05/2018,02/11/2018,40,57,3
01/29/2018,02/04/2018,40,57,3
01/21/2018,01/28/2018,38,58,4
01/15/2018,01/21/2018,36,59,5
01/08/2018,01/14/2018,38,57,5
01/01/2018,01/07/2018,37,58,5
12/25/2017,12/31/2017,39,55,6
12/18/2017,12/24/2017,37,57,6
12/11/2017,12/17/2017,35,60,5
12/04/2017,12/10/2017,36,59,5
11/27/2017,12/03/2017,35,59,6
11/20/2017,11/26/2017,37,56,7
11/13/2017,11/19/2017,38,57,5
11/06/2017,11/12/2017,38,56,6
10/30/2017,11/05/2017,38,58,4
10/23/2017,10/29/2017,35,60,5
10/16/2017,10/22/2017,36,58,6
10/09/2017,10/15/2017,37,57,6
10/02/2017,10/08/2017,38,56,6
09/25/2017,10/01/2017,37,58,5
09/18/2017,09/24/2017,38,55,7
09/11/2017,09/17/2017,38,57,5
09/04/2017,09/10/2017,37,57,6
08/28/2017,09/03/2017,36,59,5
08/21/2017,08/27/2017,35,60,5
08/14/2017,08/20/2017,37,58,5
08/07/2017,08/13/2017,36,58,6
07/31/2017,08/06/2017,37,58,5
07/24/2017,07/30/2017,38,57,5
07/17/2017,07/23/2017,37,58,5
07/10/2017,07/16/2017,39,56,5
07/03/2017,07/09/2017,38,57,5
06/26/2017,07/02/2017,39,56,5
06/19/2017,06/25/2017,39,56,5
06/12/2017,06/18/2017,38,57,5
06/05/2017,06/11/2017,37,58,5
05/29/2017,06/04/2017,38,56,6
05/22/2017,05/28/2017,41,54,5
05/15/2017,05/21/2017,38,56,6
05/08/2017,05/14/2017,38,56,6
05/01/2017,05/07/2017,42,53,5
04/24/2017,04/30/2017,41,54,5
04/17/2017,04/23/2017,41,52,7
04/10/2017,04/16/2017,40,54,6
04/03/2017,04/09/2017,40,53,7
03/27/2017,04/02/2017,38,57,5
03/20/2017,03/26/2017,39,56,5
03/13/2017,03/19/2017,40,55,5
03/06/2017,03/12/2017,42,52,6
02/27/2017,03/05/2017,43,51,6
02/20/2017,02/26/2017,42,53,5
02/13/2017,02/19/2017,40,54,6
02/06/2017,02/12/2017,41,53,6
01/30/2017,02/05/2017,43,52,5
01/20/2017,01/29/2017,45,47,8
01/16/2017,01/19/2017,59,37,4
01/09/2017,01/15/2017,57,39,4
01/02/2017,01/08/2017,55,42,3
12/26/2016,01/01/2017,55,40,5
12/19/2016,12/25/2016,56,40,4
12/12/2016,12/18/2016,56,40,4
12/05/2016,12/11/2016,57,40,3
11/28/2016,12/04/2016,54,43,3
11/21/2016,11/27/2016,56,40,4
11/14/2016,11/20/2016,56,41,3
11/07/2016,11/13/2016,57,41,2
10/31/2016,11/06/2016,53,45,2
10/24/2016,10/30/2016,54,44,2
10/17/2016,10/23/2016,55,42,3
10/10/2016,10/16/2016,54,43,3
10/03/2016,10/09/2016,52,45,3
09/26/2016,10/02/2016,53,44,3
09/19/2016,09/25/2016,53,43,4
09/12/2016,09/18/2016,52,44,4
09/05/2016,09/11/2016,51,45,4
08/29/2016,09/04/2016,52,44,4
08/22/2016,08/28/2016,51,45,4
08/15/2016,08/21/2016,51,44,5
08/08/2016,08/14/2016,52,44,4
08/01/2016,08/07/2016,52,45,3
07/25/2016,07/31/2016,53,44,3
07/18/2016,07/24/2016,49,47,4
07/11/2016,07/17/2016,49,46,5
07/04/2016,07/10/2016,51,45,4
06/27/2016,07/03/2016,51,45,4
06/20/2016,06/26/2016,50,46,4
06/13/2016,06/19/2016,53,44,3
06/06/2016,06/12/2016,53,43,4
05/30/2016,06/05/2016,51,44,5
05/23/2016,05/29/2016,52,44,4
05/16/2016,05/22/2016,51,45,4
05/09/2016,05/15/2016,51,45,4
05/02/2016,05/08/2016,52,44,4
04/25/2016,05/01/2016,51,46,3
04/18/2016,04/24/2016,51,45,4
04/11/2016,04/17/2016,48,47,5
04/04/2016,04/10/2016,51,45,4
03/28/2016,04/03/2016,51,45,4
03/21/2016,03/27/2016,53,44,3
03/14/2016,03/20/2016,50,46,4
03/07/2016,03/13/2016,51,45,4
02/29/2016,03/06/2016,50,46,4
02/22/2016,02/28/2016,48,47,5
02/15/2016,02/21/2016,48,48,4
02/08/2016,02/14/2016,48,48,4
02/01/2016,02/07/2016,47,50,3
01/25/2016,01/31/2016,48,48,4
01/18/2016,01/24/2016,48,47,5
01/11/2016,01/17/2016,48,47,5
01/04/2016,01/10/2016,47,49,4
12/28/2015,01/03/2016,45,52,3
12/21/2015,12/27/2015,48,49,3
12/14/2015,12/20/2015,45,51,4
12/07/2015,12/13/2015,45,50,5
11/30/2015,12/06/2015,47,49,4
11/23/2015,11/29/2015,46,49,5
11/16/2015,11/22/2015,44,52,4
11/09/2015,11/15/2015,49,47,4
11/02/2015,11/08/2015,49,48,3
10/26/2015,11/01/2015,47,49,4
10/19/2015,10/25/2015,46,50,4
10/12/2015,10/18/2015,46,50,4
10/05/2015,10/11/2015,46,50,4
09/28/2015,10/04/2015,47,49,4
09/21/2015,09/27/2015,48,49,3
09/14/2015,09/20/2015,46,51,3
09/07/2015,09/13/2015,46,49,5
08/31/2015,09/06/2015,46,50,4
08/24/2015,08/30/2015,46,50,4
08/17/2015,08/23/2015,44,51,5
08/10/2015,08/16/2015,46,49,5
08/03/2015,08/09/2015,46,50,4
07/27/2015,08/02/2015,46,49,5
07/20/2015,07/26/2015,46,50,4
07/13/2015,07/19/2015,46,48,6
07/06/2015,07/12/2015,46,49,5
06/29/2015,07/05/2015,46,49,5
06/22/2015,06/28/2015,47,49,4
06/15/2015,06/21/2015,45,50,5
06/08/2015,06/14/2015,45,49,6
06/01/2015,06/07/2015,46,49,5
05/25/2015,05/31/2015,47,49,4
05/18/2015,05/24/2015,46,49,5
05/11/2015,05/17/2015,47,49,4
05/04/2015,05/10/2015,47,48,5
04/27/2015,05/03/2015,48,48,4
04/20/2015,04/26/2015,45,49,6
04/13/2015,04/19/2015,46,50,4
04/06/2015,04/12/2015,48,48,4
03/30/2015,04/05/2015,47,48,5
03/23/2015,03/29/2015,46,49,5
03/16/2015,03/22/2015,45,50,5
03/09/2015,03/15/2015,47,48,5
03/02/2015,03/08/2015,46,49,5
02/23/2015,03/01/2015,45,50,5
02/16/2015,02/22/2015,46,49,5
02/09/2015,02/15/2015,47,48,5
02/02/2015,02/08/2015,46,49,5
01/26/2015,02/01/2015,47,48,5
01/19/2015,01/25/2015,49,47,4
01/12/2015,01/18/2015,46,49,5
01/05/2015,01/11/2015,46,48,6
12/29/2014,01/04/2015,46,48,6
12/22/2014,12/28/2014,44,50,6
12/15/2014,12/21/2014,45,51,4
12/08/2014,12/14/2014,43,52,5
12/01/2014,12/07/2014,43,52,5
11/24/2014,11/30/2014,43,52,5
11/17/2014,11/23/2014,42,53,5
11/10/2014,11/16/2014,42,52,6
11/03/2014,11/09/2014,40,54,6
10/27/2014,11/02/2014,42,53,5
10/20/2014,10/26/2014,42,53,5
10/13/2014,10/19/2014,41,54,5
10/06/2014,10/12/2014,41,55,4
09/29/2014,10/05/2014,43,53,4
09/22/2014,09/28/2014,42,52,6
09/15/2014,09/21/2014,43,52,5
09/08/2014,09/14/2014,41,54,5
09/01/2014,09/07/2014,40,53,7
08/25/2014,08/31/2014,41,53,6
08/18/2014,08/24/2014,43,51,6
08/11/2014,08/17/2014,41,53,6
08/04/2014,08/10/2014,42,53,5
07/28/2014,08/03/2014,42,54,4
07/21/2014,07/27/2014,41,53,6
07/14/2014,07/20/2014,43,51,6
07/07/2014,07/13/2014,42,53,5
06/30/2014,07/06/2014,43,52,5
06/23/2014,06/29/2014,42,52,6
06/16/2014,06/22/2014,41,55,4
06/09/2014,06/15/2014,42,52,6
06/02/2014,06/08/2014,44,50,6
05/26/2014,06/01/2014,44,51,5
05/19/2014,05/25/2014,43,52,5
05/12/2014,05/18/2014,44,51,5
05/05/2014,05/11/2014,45,50,5
04/28/2014,05/04/2014,44,50,6
04/21/2014,04/27/2014,44,50,6
04/14/2014,04/20/2014,44,50,6
04/07/2014,04/13/2014,43,51,6
03/31/2014,04/06/2014,44,51,5
03/24/2014,03/30/2014,43,52,5
03/17/2014,03/23/2014,44,51,5
03/10/2014,03/16/2014,40,54,6
03/03/2014,03/09/2014,43,53,4
02/24/2014,03/02/2014,42,54,4
02/17/2014,02/23/2014,45,51,4
02/10/2014,02/16/2014,40,53,7
02/03/2014,02/09/2014,41,51,8
01/27/2014,02/02/2014,42,50,8
01/20/2014,01/26/2014,42,50,8
01/13/2014,01/19/2014,40,52,8
01/06/2014,01/12/2014,41,51,8
01/02/2014,01/05/2014,41,53,6
12/23/2013,12/29/2013,43,51,6
12/16/2013,12/22/2013,40,52,8
12/09/2013,12/15/2013,42,50,8
12/02/2013,12/08/2013,41,51,8
11/25/2013,12/01/2013,42,52,6
11/18/2013,11/24/2013,40,53,7
11/11/2013,11/17/2013,41,52,7
11/04/2013,11/10/2013,41,52,7
10/28/2013,11/03/2013,41,52,7
10/21/2013,10/27/2013,43,50,7
10/14/2013,10/20/2013,43,51,6
10/07/2013,10/13/2013,42,52,6
09/30/2013,10/06/2013,44,50,6
09/23/2013,09/29/2013,45,48,7
09/16/2013,09/22/2013,44,47,9
09/09/2013,09/15/2013,45,46,9
09/02/2013,09/08/2013,44,48,8
08/26/2013,09/01/2013,44,48,8
08/19/2013,08/25/2013,46,46,8
08/12/2013,08/18/2013,46,45,9
08/05/2013,08/11/2013,44,48,8
07/29/2013,08/04/2013,45,48,7
07/22/2013,07/28/2013,46,47,7
07/15/2013,07/21/2013,47,46,7
07/08/2013,07/14/2013,46,47,7
07/01/2013,07/07/2013,46,46,8
06/24/2013,06/30/2013,47,45,8
06/17/2013,06/23/2013,46,46,8
06/10/2013,06/16/2013,47,46,7
06/03/2013,06/09/2013,48,45,7
05/27/2013,06/02/2013,48,44,8
05/20/2013,05/26/2013,49,44,7
05/13/2013,05/19/2013,49,44,7
05/06/2013,05/12/2013,49,44,7
04/29/2013,05/05/2013,50,44,6
04/22/2013,04/28/2013,51,42,7
04/15/2013,04/21/2013,50,43,7
04/08/2013,04/14/2013,49,45,6
04/01/2013,04/07/2013,48,45,7
03/25/2013,03/30/2013,48,45,7
03/18/2013,03/24/2013,47,45,8
03/11/2013,03/17/2013,48,46,6
03/04/2013,03/10/2013,49,44,7
02/25/2013,03/03/2013,49,44,7
02/18/2013,02/24/2013,51,42,7
02/11/2013,02/17/2013,51,43,6
02/04/2013,02/10/2013,52,42,6
01/28/2013,02/03/2013,53,42,5
01/21/2013,01/27/2013,52,43,5
01/14/2013,01/20/2013,50,43,7
01/07/2013,01/13/2013,54,41,5
12/31/2012,01/06/2013,53,40,7
12/24/2012,12/30/2012,53,41,6
12/17/2012,12/23/2012,57,37,6
12/10/2012,12/16/2012,52,40,8
12/03/2012,12/09/2012,50,44,6
11/26/2012,12/02/2012,51,42,7
11/19/2012,11/25/2012,52,40,8
11/12/2012,11/18/2012,53,41,6
11/05/2012,11/11/2012,51,43,6
10/29/2012,11/04/2012,52,45,3
10/22/2012,10/28/2012,50,45,5
10/15/2012,10/21/2012,50,45,5
10/08/2012,10/14/2012,50,45,5
10/01/2012,10/07/2012,52,43,5
09/24/2012,09/30/2012,48,45,7
09/17/2012,09/23/2012,49,45,6
09/10/2012,09/16/2012,50,44,6
09/03/2012,09/09/2012,50,44,6
08/27/2012,09/02/2012,44,47,9
08/20/2012,08/26/2012,46,47,7
08/13/2012,08/19/2012,45,49,6
08/06/2012,08/12/2012,45,49,6
07/30/2012,08/05/2012,45,48,7
07/23/2012,07/29/2012,47,47,6
07/16/2012,07/22/2012,45,48,7
07/09/2012,07/15/2012,46,47,7
07/02/2012,07/08/2012,45,46,9
06/25/2012,07/01/2012,47,46,7
06/18/2012,06/24/2012,46,48,6
06/11/2012,06/17/2012,46,48,6
06/04/2012,06/10/2012,47,46,7
05/28/2012,06/03/2012,46,46,8
05/21/2012,05/27/2012,48,46,6
05/14/2012,05/20/2012,47,46,7
05/07/2012,05/13/2012,47,47,6
04/30/2012,05/06/2012,48,46,6
04/23/2012,04/29/2012,48,46,6
04/16/2012,04/22/2012,48,46,6
04/09/2012,04/15/2012,47,46,7
04/02/2012,04/08/2012,47,46,7
03/26/2012,04/01/2012,46,45,9
03/19/2012,03/25/2012,46,45,9
03/12/2012,03/18/2012,46,47,7
03/05/2012,03/11/2012,48,44,8
02/27/2012,03/04/2012,45,48,7
02/20/2012,02/26/2012,45,47,8
02/13/2012,02/19/2012,45,47,8
02/06/2012,02/12/2012,47,47,6
01/30/2012,02/05/2012,46,47,7
01/23/2012,01/29/2012,45,48,7
01/16/2012,01/22/2012,45,46,9
01/09/2012,01/15/2012,45,47,8
01/02/2012,01/08/2012,46,47,7
12/26/2011,01/01/2012,42,49,9
12/19/2011,12/25/2011,45,47,8
12/12/2011,12/18/2011,42,50,8
12/05/2011,12/11/2011,43,50,7
11/28/2011,12/04/2011,42,50,8
11/21/2011,11/27/2011,43,49,8
11/14/2011,11/20/2011,43,49,8
11/07/2011,11/13/2011,43,48,9
10/31/2011,11/06/2011,43,50,7
10/24/2011,10/30/2011,43,49,8
10/17/2011,10/23/2011,41,51,8
10/10/2011,10/16/2011,41,52,7
10/03/2011,10/09/2011,40,53,7
09/26/2011,10/02/2011,41,50,9
09/19/2011,09/25/2011,41,51,8
09/12/2011,09/18/2011,40,52,8
09/05/2011,09/11/2011,43,49,8
08/29/2011,09/04/2011,42,51,7
08/22/2011,08/28/2011,40,53,7
08/15/2011,08/21/2011,40,53,7
08/08/2011,08/14/2011,40,52,8
08/01/2011,08/07/2011,42,50,8
07/25/2011,07/31/2011,42,49,9
07/18/2011,07/24/2011,43,48,9
07/11/2011,07/17/2011,44,48,8
07/04/2011,07/10/2011,46,45,9
06/27/2011,07/03/2011,46,47,7
06/20/2011,06/26/2011,43,49,8
06/13/2011,06/19/2011,47,45,8
06/06/2011,06/12/2011,46,44,10
05/30/2011,06/05/2011,50,42,8
05/23/2011,05/29/2011,49,43,8
05/16/2011,05/22/2011,50,43,7
05/09/2011,05/15/2011,49,43,8
05/02/2011,05/08/2011,51,40,9
04/25/2011,05/01/2011,44,47,9
04/18/2011,04/24/2011,43,48,9
04/11/2011,04/17/2011,43,48,9
04/04/2011,04/10/2011,45,46,9
03/28/2011,04/03/2011,48,44,8
03/21/2011,03/27/2011,45,47,8
03/14/2011,03/20/2011,48,44,8
03/07/2011,03/13/2011,47,45,8
02/28/2011,03/06/2011,46,46,8
02/21/2011,02/27/2011,48,44,8
02/14/2011,02/20/2011,48,43,9
02/07/2011,02/13/2011,48,43,9
01/31/2011,02/06/2011,47,45,8
01/24/2011,01/30/2011,50,42,8
01/17/2011,01/23/2011,50,42,8
01/10/2011,01/16/2011,49,42,9
01/03/2011,01/09/2011,48,45,7
12/27/2010,01/02/2011,48,44,8
12/20/2010,12/26/2010,47,46,7
12/13/2010,12/19/2010,46,46,8
12/06/2010,12/12/2010,45,48,7
11/29/2010,12/05/2010,46,46,8
11/22/2010,11/28/2010,45,47,8
11/15/2010,11/21/2010,46,46,8
11/08/2010,11/14/2010,44,48,8
11/01/2010,11/07/2010,45,47,8
10/25/2010,10/31/2010,45,48,7
10/18/2010,10/24/2010,44,48,8
10/11/2010,10/17/2010,45,47,8
10/04/2010,10/10/2010,46,48,6
09/27/2010,10/03/2010,46,47,7
09/20/2010,09/26/2010,44,48,8
09/13/2010,09/19/2010,46,47,7
09/06/2010,09/12/2010,46,46,8
08/30/2010,09/05/2010,45,47,8
08/23/2010,08/29/2010,43,49,8
08/16/2010,08/22/2010,43,50,7
08/09/2010,08/15/2010,44,48,8
08/02/2010,08/08/2010,45,48,7
07/26/2010,08/01/2010,45,47,8
07/19/2010,07/25/2010,45,47,8
07/12/2010,07/18/2010,46,46,8
07/05/2010,07/11/2010,46,47,7
06/28/2010,07/04/2010,46,45,9
06/21/2010,06/27/2010,45,46,9
06/14/2010,06/20/2010,47,45,8
06/07/2010,06/13/2010,46,46,8
05/31/2010,06/06/2010,47,45,8
05/24/2010,05/30/2010,46,46,8
05/17/2010,05/23/2010,48,45,7
05/10/2010,05/16/2010,49,43,8
05/03/2010,05/09/2010,50,43,7
04/26/2010,05/02/2010,48,45,7
04/19/2010,04/25/2010,50,43,7
04/12/2010,04/18/2010,48,45,7
04/05/2010,04/11/2010,47,46,7
03/29/2010,04/04/2010,49,44,7
03/22/2010,03/28/2010,49,44,7
03/15/2010,03/21/2010,48,45,7
03/08/2010,03/14/2010,48,45,7
03/01/2010,03/07/2010,49,44,7
02/22/2010,02/28/2010,50,43,7
02/15/2010,02/21/2010,49,43,8
02/08/2010,02/14/2010,51,42,7
02/01/2010,02/07/2010,50,43,7
01/25/2010,01/31/2010,48,45,7
01/18/2010,01/24/2010,49,46,5
01/11/2010,01/17/2010,50,43,7
01/04/2010,01/10/2010,51,43,6
12/28/2009,01/03/2010,51,43,6
12/21/2009,12/27/2009,51,43,6
12/14/2009,12/20/2009,50,43,7
12/07/2009,12/13/2009,49,42,9
11/30/2009,12/06/2009,50,44,6
11/23/2009,11/29/2009,50,42,8
11/16/2009,11/22/2009,49,44,7
11/09/2009,11/15/2009,53,39,8
11/02/2009,11/08/2009,52,42,6
10/26/2009,11/01/2009,53,41,6
10/19/2009,10/25/2009,53,39,8
10/12/2009,10/18/2009,52,41,7
10/05/2009,10/11/2009,54,38,8
09/28/2009,10/04/2009,52,40,8
09/21/2009,09/27/2009,51,41,8
09/14/2009,09/20/2009,52,41,7
09/07/2009,09/13/2009,52,41,7
08/31/2009,09/06/2009,53,40,7
08/24/2009,08/30/2009,50,43,7
08/17/2009,08/23/2009,52,41,7
08/10/2009,08/16/2009,54,40,6
08/03/2009,08/09/2009,56,37,7
07/27/2009,08/02/2009,54,39,7
07/20/2009,07/26/2009,56,38,6
07/13/2009,07/19/2009,59,33,8
07/06/2009,07/12/2009,58,34,8
06/29/2009,07/05/2009,60,32,8
06/22/2009,06/28/2009,60,33,7
06/15/2009,06/21/2009,59,34,7
06/08/2009,06/14/2009,61,31,8
06/01/2009,06/07/2009,62,31,7
05/25/2009,05/31/2009,63,30,7
05/18/2009,05/24/2009,64,28,8
05/11/2009,05/17/2009,64,29,7
05/04/2009,05/10/2009,66,27,7
04/27/2009,05/03/2009,65,29,6
04/20/2009,04/26/2009,65,29,6
04/13/2009,04/19/2009,62,29,9
04/06/2009,04/12/2009,61,28,11
03/30/2009,04/05/2009,62,28,10
03/23/2009,03/29/2009,61,29,10
03/16/2009,03/22/2009,63,26,11
03/09/2009,03/15/2009,62,28,10
03/02/2009,03/08/2009,62,27,11
02/23/2009,03/01/2009,64,23,13
02/16/2009,02/22/2009,62,25,13
02/09/2009,02/15/2009,64,22,14
02/02/2009,02/08/2009,65,21,14
01/26/2009,02/01/2009,66,18,16
01/19/2009,01/25/2009,67,13,20
01/09/2009,01/11/2009,34,61,5
12/12/2008,12/14/2008,29,67,4
12/04/2008,12/07/2008,32,61,7
11/13/2008,11/16/2008,29,66,5
11/07/2008,11/09/2008,28,68,4
10/31/2008,11/02/2008,25,70,5
10/23/2008,10/26/2008,31,66,3
10/10/2008,10/12/2008,25,71,4
10/03/2008,10/05/2008,25,70,5
09/26/2008,09/27/2008,27,69,4
09/08/2008,09/11/2008,31,65,4
09/05/2008,09/07/2008,33,64,3
08/21/2008,08/23/2008,29,66,5
08/07/2008,08/10/2008,33,61,6
07/25/2008,07/27/2008,32,65,3
07/10/2008,07/13/2008,31,61,8
06/15/2008,06/19/2008,28,68,4
06/09/2008,06/12/2008,30,64,6
05/30/2008,06/01/2008,28,68,4
05/08/2008,05/11/2008,29,65,6
05/01/2008,05/03/2008,28,67,5
04/18/2008,04/20/2008,28,69,3
04/06/2008,04/09/2008,28,67,5
03/14/2008,03/16/2008,32,64,4
03/06/2008,03/09/2008,32,64,4
02/21/2008,02/24/2008,32,62,6
02/11/2008,02/14/2008,31,65,4
02/08/2008,02/10/2008,33,61,6
01/30/2008,02/02/2008,34,61,5
1/10/2008,1/13/2008,34,60,6
01/04/2008,01/06/2008,32,64,4
12/14/2007,12/16/2007,32,65,3
12/6/2007,12/9/2007,37,57,6
11/30/2007,12/02/2007,34,62,4
11/11/2007,11/14/2007,32,61,7
11/02/2007,11/04/2007,31,64,5
10/12/2007,10/14/2007,32,64,4
10/04/2007,10/07/2007,32,64,4
09/14/2007,09/16/2007,36,62,2
09/07/2007,09/08/2007,33,62,5
08/13/2007,08/16/2007,32,63,5
08/03/2007,08/05/2007,34,62,4
07/12/2007,07/15/2007,31,63,6
07/06/2007,07/08/2007,29,66,5
06/11/2007,06/14/2007,32,65,3
06/01/2007,06/03/2007,32,62,6
05/10/2007,05/13/2007,33,62,5
05/04/2007,05/06/2007,34,63,3
04/13/2007,04/15/2007,36,60,4
04/02/2007,04/05/2007,38,58,4
03/23/2007,03/25/2007,34,62,4
03/11/2007,03/14/2007,35,61,4
03/02/2007,03/04/2007,33,63,4
02/09/2007,02/11/2007,37,59,4
02/01/2007,02/04/2007,32,65,3
1/15/2007,1/18/2007,36,61,3
01/12/2007,1/14/2007,34,63,3
01/05/2007,1/7/2007,37,59,4
12/11/2006,12/14/2006,35,61,4
12/8/2006,12/10/2006,38,59,3
11/09/2006,11/12/2006,37,62,1
11/02/2006,11/05/2006,38,56,6
10/20/2006,10/22/2006,37,58,5
10/09/2006,10/12/2006,37,57,6
10/06/2006,10/08/2006,37,59,4
09/15/2006,09/17/2006,44,51,5
09/07/2006,09/10/2006,39,56,5
08/18/2006,08/20/2006,42,54,4
08/07/2006,08/10/2006,37,59,4
07/28/2006,07/30/2006,40,56,4
07/21/2006,07/23/2006,37,59,4
07/06/2006,07/09/2006,40,55,5
06/23/2006,06/25/2006,37,60,3
06/09/2006,06/11/2006,38,56,6
06/01/2006,06/04/2006,36,57,7
05/08/2006,05/11/2006,33,61,6
05/05/2006,05/07/2006,31,61,8
04/28/2006,04/30/2006,34,65,1
04/10/2006,04/13/2006,36,63,1
04/07/2006,04/09/2006,37,60,3
03/13/2006,03/16/2006,37,59,4
03/10/2006,03/12/2006,36,60,4
02/28/2006,03/01/2006,38,60,2
02/09/2006,02/12/2006,39,56,5
02/06/2006,02/09/2006,42,55,3
1/20/2006,1/22/2006,43,54,3
1/9/2006,1/12/2006,43,53,4
01/06/2006,1/8/2006,43,54,3
12/19/2005,12/22/2005,43,53,4
12/16/2005,12/18/2005,41,56,3
12/9/2005,12/11/2005,42,55,3
12/05/2005,12/8/2005,43,52,5
11/17/2005,11/20/2005,38,57,5
11/11/2005,11/13/2005,37,60,3
11/7/2005,11/10/2005,40,55,5
10/28/2005,10/30/2005,41,56,3
10/21/2005,10/23/2005,42,55,3
10/13/2005,10/16/2005,39,58,3
09/26/2005,09/28/2005,44,50,6
09/16/2005,09/18/2005,40,58,2
09/12/2005,09/15/2005,45,52,3
09/08/2005,09/11/2005,46,51,3
08/28/2005,08/30/2005,45,52,3
08/22/2005,08/25/2005,40,58,2
08/08/2005,08/11/2005,45,51,4
08/05/2005,08/07/2005,45,51,4
07/25/2005,07/28/2005,44,51,5
07/22/2005,07/24/2005,49,48,3
07/07/2005,07/10/2005,49,48,3
06/29/2005,06/30/2005,46,51,3
06/24/2005,06/26/2005,45,53,2
06/16/2005,06/19/2005,47,51,2
06/06/2005,06/08/2005,47,49,4
05/23/2005,05/26/2005,48,47,5
05/20/2005,05/22/2005,46,50,4
05/02/2005,05/05/2005,50,45,5
04/29/2005,05/01/2005,48,49,3
04/18/2005,04/21/2005,48,49,3
04/04/2005,04/07/2005,50,45,5
04/01/2005,04/02/2005,48,48,4
03/21/2005,03/23/2005,45,49,6
03/18/2005,03/20/2005,52,44,4
03/07/2005,03/10/2005,52,44,4
2/25/2005,2/27/2005,52,45,3
02/21/2005,02/24/2005,51,45,4
02/07/2005,2/10/2005,49,48,3
2/4/2005,2/6/2005,57,40,3
1/14/2005,1/16/2005,51,46,3
1/7/2005,1/9/2005,52,44,4
1/3/2005,1/5/2005,52,44,4
12/17/2004,12/19/2004,49,46,5
12/05/2004,12/08/2004,53,44,3
11/19/2004,11/21/2004,55,42,3
11/07/2004,11/10/2004,53,44,3
10/29/2004,10/31/2004,48,47,5
10/22/2004,10/24/2004,51,46,3
10/14/2004,10/16/2004,51,47,2
10/11/2004,10/14/2004,48,49,3
10/09/2004,10/10/2004,47,49,4
10/01/2004,10/03/2004,50,48,2
09/24/2004,09/26/2004,54,44,2
09/13/2004,09/15/2004,52,45,3
09/03/2004,09/05/2004,52,46,2
08/23/2004,08/25/2004,49,47,4
08/09/2004,08/11/2004,51,46,3
07/30/2004,08/01/2004,48,49,3
07/19/2004,07/21/2004,49,47,4
07/08/2004,07/11/2004,47,49,4
06/21/2004,06/23/2004,48,49,3
06/03/2004,06/06/2004,49,49,2
05/21/2004,05/23/2004,47,49,4
05/07/2004,05/09/2004,46,51,3
05/02/2004,05/04/2004,49,48,3
04/16/2004,04/18/2004,52,45,3
04/05/2004,04/08/2004,52,45,3
03/26/2004,03/28/2004,53,44,3
