song,artist,lyrics,metadata
Cry To Me,Solomon Burke,"[Verse 1] / When your baby leaves you all alone / And nobody calls you on the phone / Don't you feel like crying? / Don't you feel like crying? / Well, here I am, my honey / C'mon, you cry to me / [Verse 2] / When you're all alone in your lonely room / And there's nothing but the smell of her perfume / Don't you feel like crying? / Don't you feel like crying? / Don't you feel like crying? / C'mon, c'mon, cry to me / [Bridge] / Whoa, nothing can be sadder than a glass of wine alone / Loneliness, loneliness, such a waste of time, oh oh yes / You don't ever have to walk alone, you see / Come on take my hand, and baby, won't you walk with me? / Whoa yeah / [Verse 3] / When you're waiting for a voice to come / In the night but there's no one / Don't you feel like crying? (Cry to me) / Don't you feel like crying? (Cry to me) / Don't you feel like cr-cr-cr-cr-cr-cr-cry (Cry to me) cr-cr-cr-cr-cr-cr-crying? (Cry to me) / Don't you feel like cr-cr-cr-cr-cr-cr-cry (Cry to me) cr-cr-cr-cr-cr-cr-crying?","{'Producer': 'Bert Berns', 'Writers': '', 'Release Date': 'N/A', 'Tags': ['Rock', 'Soul']}"
Be My Baby,Ronettes,"[Drum Intro] / [Verse 1] / The night we met I knew I needed you so / And if I had the chance I'd never let you go / So won't you say you love me? / I'll make you so proud of me / We'll make 'em turn their heads every place we go / [Chorus] / So won't you, please (Be my, be my baby) / Be my little baby? (My one and only baby) / Say you'll be my darlin' (Be my, be my baby) / Be my baby now (My one and only baby) / Whoa-oh-oh-oh / [Verse 2] / I'll make you happy, baby, just wait and see / For every kiss you give me, I'll give you three / Oh, since the day I saw you / I have been waiting for you / You know I will adore you 'til eternity / [Chorus] / So won't you, please (Be my, be my baby) / Be my little baby? (My one and only baby) / Say you'll be my darlin' (Be my, be my baby) / Be my baby now (My one and only baby) / Whoa-oh-oh-oh[Cello Bridge] / [Chorus] / So c'mon and be (Be my, be my baby) / Be my little baby? (My one and only baby) / Say you'll be my darlin' (Be my, be my baby) / Be my baby now (My one and only baby) / Oh-oh-oh-oh / [Drum Solo] / [Outro] / (Be my, be my baby) / Be my little baby? (My one and only baby) / Oh-oh-oh (Be my, be my baby) / Oh (My one and only baby) / Woah-oh-oh-oh (Be my, be my baby) / Oh-oh-oh (My one and only baby) / Oh (Be my, be my baby) / Be my baby now (My one and only baby) / Woah-oh-oh-oh","{'Producer': 'Phil Spector', 'Writers': 'Ellie Greenwich, Jeff Barry, Phil Spector', 'Release Date': 'N/A', 'Tags': ['R&B', 'Pop', 'Soul Pop', 'Doo-Wop', 'Brill Building', 'USA', 'Girl Group']}"
My Girl,The Temptations,"[Instrumental Intro] / [Verse 1] / I've got sunshine on a cloudy day / When it's cold outside, I've got the month of May / I guess you'd say / What can make me feel this way? / [Chorus] / My girl, my girl, my girl / Talkin' 'bout my girl, my girl / [Verse 2] / I've got so much honey, the bees envy me / I've got a sweeter song than the birds in the trees / Well, I guess you'd say / What can make me feel this way? / [Chorus] / My girl, my girl, my girl / Talkin' 'bout my girl, my girl / [Bridge] / Ooh, ooh / Hey, hey, hey / Ooh, ooh / Hey, hey, hey / Ooh, ooh, yeah[Verse 3] / I don't need no money, fortune, or fame / I've got all the riches, baby, one man can claim / Well, I guess you'd say / What can make me feel this way? / [Chorus] / My girl, my girl, my girl / Talkin' 'bout my girl, my girl / (Talkin' 'bout my girl) / [Outro] / I've got sunshine on a cloudy day (Woah, woah) / With my girl / I've even got the month of May / With my girl / Talkin' 'bout, talkin 'bout, talkin 'bout my girl / Ooh, my girl / That's all I can talk about is my girl / Why don't you believe she's all my girl","{'Producer': 'Ronald White', 'Writers': 'Ronald White, Smokey Robinson', 'Release Date': 'December 21, 1964', 'Tags': ['Pop', 'R&B', 'Soundtrack', 'Soul Pop', 'Ballad', 'Adult Contemporary', 'Soul', 'Motown']}"
I Can't Help Myself,Four Tops,"1. ""Bohemian Rhapsody""  (Two Friends Intro Edit) - Queen / W/ ""Body"" - Loud Luxury ft. Brando / W/ ""Latch"" (Acappella) - Disclosure ft. Sam Smith / W/ ""White Iverson"" (Acappella) - Post Malone / W/ ""Smells Like Teen Spirit"" (Acappella) - Nirvana / W/ ""Stay"" (Acappella) - Zedd & Alessia Cara / 2. ""Found You"" - RetroVision / W/ ""Whole Heart"" (Acappella) - Gryffin ft. Bipolar Sunshine / W/ ""The Rock Show"" (Acappella) - Blink-182 / W/ ""Too Little, Too Late"" (Acappella) - JoJo / 3. ""Pompeii"" (Audien Remix) - Bastille / W/ ""September"" (Acappella) Earth, Wind & Fire / W/ ""Sweater Weather"" (Acappella) - The Neighbourhood / W/ ""All Of Me"" (Acappella) - John Legend / 4. RetroVision - Bring The Beat Back / W/ ""Without Me"" (Acappella) - Halsey / W/ ""Blame It"" (Acappella) - Jamie Foxx ft. T-Pain / W/ ""Who Gives"" - ALOK & Shapeless / W/ ""IDFWU (I Don't Fuck With You)"" (Acappella) - Big Sean ft. E40 / 5. ""This Feeling"" (The Lost Boys Remix) - The Chainsmokers ft. Kelsea Ballerini / W/ ""Thank U, Next"" (Acappella) - Ariana Grande / W/ ""The Anthem"" (Acappella) - Good Charlotte / W/ ""Speechless"" (Acappella) - Dan + Shay6. ""Peanut Butter Jelly"" - Galantis / W/ ""Tik Tok"" (Acappella) - Ke$ha / W/ ""Happier"" (Acappella) - Marshmello ft. Bastille / W/ ""You"" - Bassic / W/ ""Ain't It Fun"" (Acappella) - Paramore / 7. ""Happier"" - Marshmello ft. Bastille / W/ ""Famous"" - Mason Ramsey / W/ ""Scar Tissue"" (Acappella) - Red Hot Chili Peppers / W/ ""Yikes"" (Acappella) - Kanye West / 8. ""Better When You're Gone"" - David Guetta & Brooks & Loote / W/ ""Follow Me"" (Acappella) - Uncle Kracker / W/ ""Don't Stop Believing"" (Acappella) - Journey / W/ ""Crazy In Love"" (Acappella) - Beyoncé ft. JAY Z / 9. ""Biscuit"" - Raven & Kreyn / W/ ""Dani California"" (Acappella) - Red Hot Chili Peppers / W/ ""Youngblood"" (Acappella) - 5 Seconds of Summer / W/ ""Super Bass"" (Acappella) - Nicki Minaj / 10. ""You"" - Galantis / W/ ""Love No More"" (Acappella) - Loud Luxury X Anders / W/ ""Delicate ""(Acappella) - Taylor Swift / W/ ""Anthem"" (We Love House Music) - Don Diablo / W/ ""Electricity"" (Acappella) - Silk City ft. Dua Lipa11. ""Home"" - Lucas & Steve / W/ ""This Feeling"" (Acappella) - The Chainsmokers ft. Kelsea Ballerini / W/ ""Men Without Hats"" (Acappella) - Safety Dance / W/ ""Save Me"" - Jay Hardway & Mesto / W/ ""FRIENDS"" (Acappella) - Marshmello & Anne-Marie / 12. ""This Feeling"" - The Chainsmokers ft. Kelsea Ballerini / W/ ""Lean On Me"" (Acappella) - Bill Withers / W/ ""Work It"" (Acappella) - Missy Elliott / W/ ""Shelter"" (Acappella) - Porter Robinson & Madeon / W/ ""This Feeling"" (Young Bombs Remix) - The Chainsmokers ft. Kelsea Ballerini / W/ ""679"" (Acappella) - Fetty Wap ft. Remy Boyz / 13. ""Gold Dust"" (Flux Pavilion Remix) - DJ Fresh ft. Ce'Cile / W/ ""We Dem Boyz"" (Acappella) - Wiz Khalifa / W/ ""It's Bigger Than Hip Hop UK"" (Acappella) - WTF!? & Dead Prez / 14. ""Lost At Sea"" - Dante Klein / W/ ""No Surprise"" (Acappella) - Daughtry / W/ ""Crazy"" (Acappella) - Gnarls Barkley / W/ ""Good Time"" (Acappella) - Owl City & Carly Rae Jepsen / 15. ""Tokyo"" - Faul & Wad ft. Vertue / W/ ""How To Save A Life"" - The Fray / W/ ""Ticket To Ride"" (Acappella) - The Beatles / W/ ""Learn To Fly"" (Acappella) - Foo Fighters / W/ ""Ritual"" (Acappella) - Marshmello ft. Wrabel16. ""So Close"" - NOTD & Felix Jaehn ft. Georgia Ku & Captain Cuts / W/ ""Nothing Breaks Like A Heart"" (Acappella) - Mark Ronson ft. Miley Cyrus / W/ ""Dirty Little Secret"" (Acappella) - The All-American Rejects / W/ ""So Close"" (Dwilly Remix) - NOTD & Felix Jaehn ft. Georgia Ku & Captain Cuts / W/ ""Smack That"" (Acappella) - Akon ft. Eminem / 17. ""I Found You"" - Benny Blanco & Calvin Harris / W/ ""Yellow Submarine"" (Acappella) - The Beatles / W/ ""Bitch Better Have My Money"" (Acappella) - Rihanna / W/ ""I Found You"" (Pete Down Remix) - Benny Blanco & Calvin Harris / W/ ""Lay It All On Me"" (Sultan + Shepard Remix) - Rudimental ft. Ed Sheeran / W/ ""I Found You"" (Acappella) - Benny Blanco & Calvin Harris / W/ ""Where Are Ü Now"" (Acappella) - Jack Ü ft. Justin Bieber / 18. ""Tired"" - Alan Walker ft. Gavin James / W/ ""Say My Name"" (Acappella) - ODESZA ft. Zyra / W/ ""Sunflower"" (Acappella) - Post Malone & Swae Lee / W/ ""King"" (Acappella) - Years & Years / W/ ""Tired"" (Axollo Remix) - Alan Walker ft. Gavin James / W/ ""Leave It All To Me (iCarly Theme Song)"" (Acappella) - Miranda Cosgrove / 19. ""Fire"" - Louis The Child ft. Evalyn / W/ ""Drew Barrymore"" (Acappella) - Bryce Vine / W/ ""Send My Love (To Your New Lover)"" (Acappella) - Adele / W/ ""This Is Why I'm Hot"" (Acappella) - Adele / 20. ""Ocean"" (Don Diablo Remix) - Martin Garrix ft. Khalid / W/ ""Take It Off"" (Acappella) - Two Friends / W/ ""Water Under The Bridge"" (Acappella) - Adele / W/ ""Nevada"" - Vicetone ft. Cozi Zuehlsdorff / W/ ""She Will Be Loved"" (Acappella) - Maroon 5 / 21. ""In The Music"" - Disco Killerz & Liquid Todd ft. Hannah Rose / W/ ""Giant"" (Acappella) - Calvin Harris & Rag'n'Bone Man / W/ ""Breaking Free"" (Acappella) - High School Musical Cast / W/ ""With My Homies"" (Jordan Jay Remix) - Two Friends ft. JUSCOVA & James Delaney / W/ ""Bring Back The Summer"" (Acappella) - Rain Man ft. OLY / 22. ""Bad Liar"" (Salasnich Remix) - Imagine Dragons / W/ ""Drag Me Down"" (Acappella) - One Direction / W/ ""With My Homies"" (Acappella) - Two Friends ft. JUSCOVA & James Delaney / W/ ""Happy Violence"" - Dada Life / W/ ""Titanium"" (Acappella) - David Guetta ft. Sia / 23. ""Escape"" - 3LAU & Paris & Simo ft. Bright Lights / W/ ""Hallelujah"" (Acappella) - Jeff Buckley / W/ ""Inside Out"" (Acappella) - The Chainsmokers ft. Charlee / W/ ""You Make Me Feel"" (Acappella) - Cobra Starship ft. Sabi / 24. ""High Hopes"" (Two Friends Remix) - Panic! At The Disco / W/ ""Don't Stop Me Now"" (Acappella) - Queen / W/ ""What A Wonderful World"" (Acappella) - Louis Armstrong / W/ ""Complicated"" (Acappella) - Avril Lavigne / 25. ""Raining"" - Kaskade & Adam K ft. SunSun / W/ ""Another Brick In The Wall"" (Acappella) - Pink Floyd / W/ ""Boom, Boom, Boom, Boom!!"" (Acappella) - Vengaboys / W/ ""Illmerica"" - Wolfgang Gartner / W/ ""In The End"" (Acappella) - Linkin Park / 26. ""Walk Thru Fire"" - Vicetone ft. Meron Ryan / W/ ""Tie Me Down"" (Acappella) - Gryffin ft. Elley Duhé / W/ ""Sweet Victory"" (Acappella) - David Glen Eisley / W/ ""Stargazing"" (Acappella) - Kygo ft. Justin Jesso / 27. ""Muffin"" - Raven & Kreyn / W/ ""I Can't Help Myself"" (Acappella) - The Four Tops / W/ ""Fetish"" (Acappella) - Selena Gomez ft. Gucci Mane / W/ ""Butterfly"" (Acappella) - Selena Gomez ft. Gucci Mane / 28. ""It's Strange"" - Louis The Child ft. K.Flay / W/ ""Escape"" (The Piña Colada Song) - Rupert Holmes / W/ ""Stay With Me"" (Acappella) - Sam Smith / W/ ""Just A Friend"" (Acappella) - Biz Markie / 29. ""Mo Bamba"" (Bishu Remix) - Sheck Wes / W/ ""Sicko Mode"" (Acappella) - Travis Scott ft. Drake / 30. ""Someone Like You"" (Vicetone Remix) - Adele / W/ ""Jizz In My Pants"" (Acappella) - The Lonely Island / W/ ""Buddy Holly"" (Acappella) - Weezer / W/ ""Wanderlust"" - Throttle / W/ ""Dancing Queen"" (Acappella) - ABBA / 31. ""Starlight (Could You Be Mine)"" - Don Diablo & Matt Nash ft. Noonie Bao / W/ ""Me Love"" (Acappella) - Sean Kingston / W/ ""I Melt With You"" (Acappella) - Modern English / W/ ""Starlight (Could You Be Mine)"" (Otto Knows Remix) - Don Diablo & Matt Nash ft. Noonie Bao / W/ ""Treat You Better"" (Acappella) - Shawn Mendes / 32. ""Love For You"" - Jordan Jay / W/ ""The Hanging Tree"" (Acappella) - James Newton Howard ft. Jennifer Lawrence / W/ ""Thinking Out Loud"" (Acappella) - Ed Sheeran / W/ ""Jealous"" (Acappella) - Nick Jonas / 33. ""Memories"" - David Guetta ft. Kid Cudi / W/ ""Love Sensation"" (Acappella) - Loleatta Holloway / W/ ""Solo"" (Acappella) - Clean Bandit ft. Demi Lovato / W/ ""Memories"" (Joe Maz Remix) - David Guetta ft. Kid Cudi / W/ ""Chemicals"" - Tiësto & Don Diablo ft. Thomas Troelsen / W/ ""Pretty Fly (For A White Guy)"" (Acappella) - The Offspring / 34. ""Live For The Night"" - Krewella / W/ ""Shallow"" (Acappella) - Lady GaGa & Bradley Cooper / W/ ""I'm A Believer"" (Acappella) - Smash Mouth / W/ ""Weekend"" (Acappella) - Louis The Child / 35. ""Fade Into Darkness"" - Avicii ft. Andreas Moe / W/ ""You Belong With Me"" (Acappella) - Taylor Swift / W/ ""Fade Into Darkness"" (Dave Martin Remix) - Avicii ft. Andreas Moe / W/ ""Wrecking Ball"" (Acappella) - Miley Cyrus / 36. ""ID"" - Two Friends / 37. ""Giant"" - Calvin Harris & Rag'n'Bone Man / W/ ""Single Ladies (Put A Ring On It)"" (Acappella) - Beyoncé / W/ ""Same Love"" (Acappella) - Macklemore ft. Ed Sheeran / W/ ""Giant"" (Audien Remix) - Calvin Harris & Rag'n'Bone Man / W/ ""Dynamite"" (Acappella) - Taio Cruz / 38. ""Get Up"" - RetroVision / W/ ""Rude Boy"" (Acappella) - Rihanna / W/ ""Scotty Doesn't Know"" (Acappella) - Lustra / W/ ""Notorious"" - Malaa / W/ ""Uproar"" (Acappella) - Lil Wayne ft. Swizz Beatz / 39. ""All Star"" - Smash Mouth / W/ ""The Middle"" (Acappella) - Zedd & Maren Morris & Grey / W/ ""All Star"" (Jajani Bootleg) - Smash Mouth / W/ ""All Star"" (Acappella) - Smash Mouth / W/ ""Mighty Fun Splasher"" - Going Deeper / W/ ""Bass Down Low"" (Acappella) - DEV ft. The Cataracs / 40. ""Split (Only U)"" - Tiësto & The Chainsmokers / W/ ""Where'd You Go"" (Acappella) - Fort Minor ft. Holly Brook & Jonah Matranga / W/ ""Money"" (Acappella) - Cardi B / W/ ""Dance With Me"" - Sagan / W/ ""Bedrock"" (Acappella) - Young Money / 41. ""Run Wild"" (Manse Remix) - Hardwell ft. Jake Reese / W/ ""Just What I Needed"" (Acappella) - The Cars / W/ ""Sucker"" (Acappella) - Jonas Brothers / W/ ""Seek Bromance"" - Tim Berg ft. Amanda Wilson / 42. ""There For You"" - Martin Garrix & Troye Sivan / W/ ""Stir It Up"" (Acappella) - Bob Marley / W/ ""Best Day Ever"" - Mac Miller / W/ ""There For You"" (Fairlane Remix) - Martin Garrix & Troye Sivan / W/ ""Can't Tell Me Nothing"" (Acappella) - Kanye West / 43. ""Bloodstream"" - The Chainsmokers / W/ ""Where Is The Love"" (Acappella) - Black Eyed Peas / W/ ""Location"" (Acappella) - Khalid / W/ ""The Reason"" (Acappella) - Hoobastank / W/ ""Sex On Fire"" (Acappella) - Kings Of Leon / W/ ""Lights Down Low"" (Acappella) - MAX / W/ ""Close To Me"" (Acappella) - Ellie Goulding & Diplo & Swae Lee / W/ ""In My Blood"" (Acappella) - Shawn Mendes / W/ ""Sad Machine"" (Acappella) - Porter Robinson","{'Producer': 'N/A', 'Writers': '', 'Release Date': 'April 3, 2019', 'Tags': ['Pop']}"
Paint It Black,Rolling Stones,"Yo / Yo, that beat’s giving me life / Alright / Yo, I’ll sic Medusa on ya producer, kidnap all of your bass tracks / Paint it black, rolling stones of fiction then I blaze facts / A hot dish best served cold on gold placemats / I’ll leave ya shook like racists lookin up their DNA stats / Been known to intoxicate the crowd before the drink is done / Hacked the mainframe in Zelda, copped Link a gun / Genius on the brink of dumb, cheers clink the rum, weak / MCs stay in your lane like whips with no blinkers runnin / Or try and think of somethin’ different, quit sniffin, told ya / Nine times, focus smell the roses, not the white lines / So go ask Alice, ask Ashley like Amanda Bynes / Fashioning rhymes to final answers, no lifeline / Gettin fresh baked bout to call my crew Nabisco, when / We order seven breakfasts just to count the monte cristos / We rilin’ up the dancers, cause a panic at the disco, head / West quick though, and grab some hearts in San Francisco / Cause a total eclipse and get twisted dance calypso / Watch you spinnin out in circles stationary like ellipticals / Toss a single dart blindfolded flyin to hit the bullseye / Holding a mai tai, and dollars by the fistfulShaolin, way of the dragon we goin Chuck Norris / Ride the ferry on the bottom level, fuck tourists / One verse and no chorus, straight bars like a prison cell / Lyrics so fire I make you wish for hell, spit in / Never land, that gave Tinkerbell a dizzy spell / Just my presence got peasants with torches storming the citadel / Mix of Quicksilver, Scarlet Witch and both versions of / The Vision, living larger than larger than life depictions / Reppin the era of channel 3 static on television / Sit tight, we'll be right back after these messages, right / Your fucked like you brought an asshole to a dick fight / And you up against the gremlins and we eatin after midnight / Swallow these small portions in one big bite, and filter out / The crumbs, keep the stage duty-free like in-flight / I eat shadows, spit light, meet for battles at sick heights / Where past defeated mics melt to mineral electrolytes / Remanifest as a data cloud of a thousand terabytes / Style sweet and deadly, that’s Cinnabons and cenobites / Short-sighted minds staying sheltered like Mennonites / Lyrics cut deep, call this pen a knife. I said it rightIf I ain’t blasting through your speakers, switch the chords / I'm that student of Carter 4, Shakespeare, and Liquid Swords / But y’all bow to ya kings I praise queens in four different forms / Lauryn, Erykah, Noname, Nicki in that specific order / And I ain’t fuckin with no snails till I’m back in Paris / That chattering repetition ain’t for rappers, just packs of parrots / Pushin a fix for all you boombox addicts, holdin our / Tupacs and Havocs over these fools poppin’ Xanax / Sendin signals past Neptune and the dwarf planets / Catch an army of these Carhartt hats and sport jackets / Advancing 4 brackets past a tournament of wackness / How we run through, equipped with Sun Tzu’s art of war tactics / Legend continues, kung fu /  when I spit hits / Like  / “microphone check and one two what is this?” / Goons and wiz kids tune into MCs that could / Snatch a mic fast enough to crack your front Chiclets / Scour the underground for blue collar rhymers and sound clips of / Best kept cryptically deft lyrical secrets / Form a supergroup spitting in frequencies unheard by most / Humans, murdering beats so hard, we start exhumingI got the whiskey poured more quickly than a blitz until the / Gryffindors asking what these serpents so shifty for / Haters buried under a sycamore, check the wiki / Got me feelin like Nintendo when the bars turn 64","{'Producer': 'Joe Pecora', 'Writers': '', 'Release Date': 'June 1, 2022', 'Tags': ['Rap']}"
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,"[Intro: Marvin Gaye] / Listen, baby / [Verse 1: Marvin Gaye,  / Tammi Terrell /  &  / Both / ] / Ain't no mountain high, ain't no valley low / Ain't no river wide enough, baby / If you need me, call me, no matter where you are / No matter how far, /  don't worry, baby / Just call my name, I'll be there in a hurry / You don't have to worry, /   / 'cause, baby, there / [Chorus: Marvin Gaye & Tammi Terrell] / Ain't no mountain high enough / Ain't no valley low enough / Ain't no river wide enough / To keep me from gettin' to you, baby / [Verse 2: Marvin Gaye,  / Marvin Gaye & Tammi Terrell / ] / Remember the day I set you free / I told you you could always count on me, darlin' / From that day on, I made a vow / I'll be there when you want me, someway, somehow / Oh, baby, there / [Chorus: Marvin Gaye & Tammi Terrell] / Ain't no mountain high enough / Ain't no valley low enough / Ain't no river wide enough / To keep me from gettin' to you, babe[Bridge: Marvin Gaye,  / Tammi Terrell /  &  / Both / ] / Oh no, darlin' / No wind, no rain / Or winter's cold / Can stop me, baby /  (No, no, baby) / 'Cause you are my goal / If you're ever in trouble / I'll be there on the double / Just send for me,  / oh baby, ha / [Verse 3: Tammi Terrell,  / Marvin Gaye /  &  / Both / ] / My love is alive ( / Woo / ), way down in my heart / Although we are miles apart / If you ever need a helpin' hand / I'll be there on the double /   / just /   / as fast as I can / Don't you know that there / [Chorus: Marvin Gaye & Tammi Terrell,  / Tammi Terrell / ] / Ain't no mountain high enough / Ain't no valley low enough / Ain't no river wide enough / To keep me from gettin' to you, babe / Don't ya know that there / Ain't no mountain high enough / Ain't no valley low enough / Ain't no river wide enough / Ain't no mountain high enough / Ain't no valley low enough","{'Producer': 'Johnny Bristol', 'Writers': 'Nickolas Ashford, Valerie Simpson', 'Release Date': 'April 20, 1967', 'Tags': ['Pop', 'R&B', 'Superheroes', 'USA', 'In English', 'Soundtrack', 'Duet', 'Soul', 'Soul Pop', 'Motown']}"
(Sittin' On The) Dock Of The Bay,Otis Redding,"[Verse 1] / Sittin' in the mornin' sun / I'll be sittin' when the evenin' come / Watching the ships roll in / And then I watch 'em roll away again, yeah / [Chorus] / I'm sittin' on the dock of the bay / Watching the tide roll away / Ooh, I'm just sittin' on the dock of the bay / Wastin' time / [Verse 2] / I left my home in Georgia / Headed for the 'Frisco bay / 'Cause I've had nothing to live for / And look like nothin's gonna come my way / [Chorus] / So I'm just gonna sit on the dock of the bay / Watching the tide roll away / Ooh, I'm sittin' on the dock of the bay / Wastin' time / [Bridge] / Look like nothing's gonna change / Everything still remains the same / I can't do what ten people tell me to do / So I guess I'll remain the same, yes[Verse 3] / Sittin' here resting my bones / And this loneliness won't leave me alone / It's two thousand miles I roamed / Just to make this dock my home / [Chorus] / Now, I'm just gonna sit at the dock of the bay / Watching the tide roll away / Ooh-wee, I'm sittin' on the dock of the bay / Wastin' time / [Outro] / *Whistling*","{'Producer': 'Steve Cropper', 'Writers': 'Otis Redding, Steve Cropper', 'Release Date': 'January 8, 1968', 'Tags': ['R&B', 'Folk Pop', 'Soul Pop', 'Soul']}"
Here Comes The Sun,Beatles,"[Chorus] / Here comes the sun (Doo-d-doo-doo) / Here comes the sun / And I say, ""It's alright"" / [Verse 1] / Little darling / It's been a long, cold, lonely winter / Little darling / It feels like years since it's been here / [Chorus] / Here comes the sun (Doo-d-doo-doo) / Here comes the sun / And I say, ""It's alright"" / [Verse 2] / Little darling / The smile's returning to the faces / Little darling / It seems like years since it's been here / [Chorus] / Here comes the sun / Here comes the sun / And I say, ""It's alright""[Bridge] / Sun, sun, sun, here it comes / Sun, sun, sun, here it comes / Sun, sun, sun, here it comes / Sun, sun, sun, here it comes / Sun, sun, sun, here it comes / [Verse 3] / Little darling / I feel that ice is slowly melting / Little darling / It seems like years since it's been clear / [Chorus] / Here comes the sun (Doo-d-doo-doo) / Here comes the sun / And I say, ""It's alright"" / Here comes the sun (Doo-d-doo-doo) / Here comes the sun / It's alright / It's alright","{'Producer': 'George Martin', 'Writers': '', 'Release Date': 'September 26, 1969', 'Tags': ['Rock', 'Pop', 'England', 'Psychedelic Pop', 'In English', 'Singer-Songwriter', 'Progressive Pop', 'Sunshine Pop', 'Electronic', 'Baroque Pop', 'Pop-Rock', 'UK', 'Folk Pop', 'Ballad', 'Folk Rock']}"
Your Song,Elton John,"[Verse 1] / It's a little bit funny / This feelin' inside / I'm not one of those who can easily hide / I don't have much money, but boy, if I did / I'd buy a big house where we both could live / [Verse 2] / If I was a sculptor, heh / But then again, no / Or a man who makes potions in a travellin' show, oh / I know it's not much, but it's the best I can do / My gift is my song and this one's for you / [Chorus] / And you can tell everybody / This is your song / It may be quite simple, but / Now that it's done / I hope you don't mind, I hope you don't mind / That I put down in words / How wonderful life is / While you're in the world / [Verse 3] / I sat on the roof / And kicked off the moss / Well, a few of the verses / Well, they've got me quite cross / But the sun's been quite kind / While I wrote this song / It's for people like you that keep it turned on[Verse 4] / So excuse me forgettin' / But these things I do / You see, I've forgotten / If they're green or they're blue / Anyway, the thing is / What I really mean / Yours are the sweetest eyes I've ever seen / [Chorus] / And you can tell everybody / This is the song / It may be quite simple, but / Now that it's done / I hope you don't mind, I hope you don't mind / That I put down in words / How wonderful life is / While you're in the world / [Outro] / I hope you don't mind, I hope you don't mind / That I put down in words / How wonderful life is / While you're in the world","{'Producer': 'Gus Dudgeon', 'Writers': 'Elton John, Bernie Taupin', 'Release Date': 'April 10, 1970', 'Tags': ['Pop', 'Rock', 'England', 'In English', 'Orchestral', 'Chamber Music', 'Piano Rock', 'Chamber Pop', 'Baroque Pop', 'Pop-Rock', 'Soft Rock', 'Singer-Songwriter', 'Adult Contemporary', 'Ballad', 'UK']}"
Take Me Home Country Roads,John Denver,"[Verse 1] / Almost Heaven, West Virginia / Blue Ridge Mountains / ,  / Shenandoah River / Life is old there, older than the trees / Younger than the mountains, growing like a breeze / [Chorus] / Country roads, take me home / To the place I belong / West Virginia, mountain mama / Take me home, country roads / [Verse 2] / All my memories gather 'round her / Miner's lady, stranger to blue water / Dark and dusty, painted on the sky / Misty taste of moonshine, teardrop in my eye / [Chorus] / Country roads, take me home / To the place I belong / West Virginia, mountain mama / Take me home, country roads / [Bridge] / I hear her voice in the morning hour, she calls me / The radio reminds me of my home far away / Driving down the road, I get a feeling / That I should have been home yesterday, yesterday[Chorus] / Country roads, take me home / To the place I belong / West Virginia, mountain mama / Take me home, country roads / Country roads, take me home / To the place I belong / West Virginia, mountain mama / Take me home, country roads / [Outro] / Take me home, (Down) country roads / Take me home, (Down) country roads","{'Producer': 'Susan Ruskin', 'Writers': 'John Denver, Bill Danoff, Taffy Nivert Danoff', 'Release Date': 'April 6, 1971', 'Tags': ['Country', 'Folk Rock', 'In English', 'USA', 'Folk', 'Bluegrass', 'Adult Contemporary', 'Singer-Songwriter']}"
Tiny Dancer,Elton John,"[Verse 1] / Blue jean baby, L.A. lady / Seamstress for the band / Pretty-eyed, pirate smile / You'll marry a music man / Ballerina, you must've seen her / Dancing in the sand / And now she's in me, always with me / Tiny dancer in my hand / [Verse 2] / Jesus freaks out in the street / Handing tickets out for God / Turning back, she just laughs / The boulevard is not that bad / Piano man, he makes his stand / In the auditorium / Looking on, she sings the songs / The words she knows, the tune she hums / [Pre-Chorus] / But, oh, how it feels so real / Lying here with no one near / Only you, and you can hear me / When I say softly, slowly[Chorus] / Hold me closer, tiny dancer / Count the headlights on the highway / Lay me down in sheets of linen / You had a busy day today / Hold me closer, tiny dancer / Count the headlights on the highway / Lay me down in sheets of linen / You had a busy day today / [Verse 1] / Blue jean baby, L.A. lady / Seamstress for the band / Pretty-eyed, pirate smile / You'll marry a music man / Ballerina, you must've seen her / Dancing in the sand / And now she's in me, always with me / Tiny dancer in my hand / [Pre-Chorus] / Oh, how it feels so real / Lying here with no one near / Only you, and you can hear me / When I say softly, slowly[Chorus] / Hold me closer, tiny dancer / Count the headlights on the highway / Lay me down in sheets of linen / You had a busy day today / Hold me closer, tiny dancer / Count the headlights on the highway / Lay me down in sheets of linen / You had a busy day today / Ooh","{'Producer': 'Gus Dudgeon', 'Writers': 'Elton John, Bernie Taupin', 'Release Date': 'February 7, 1972', 'Tags': ['Country', 'Pop', 'Rock', 'England', 'In English', 'Neo-Psychedelia', 'Symphonic Rock', 'Piano Rock', 'Pop-Rock', 'Orchestral', 'Adult Contemporary', 'Singer-Songwriter', 'Baroque Pop', 'Honky-Tonk', 'Soft Rock', 'British Rock', 'UK']}"
